Alue,Vuosi,Kesämökkejä (lkm)
Ruovesi,2020,2640
Ruovesi,2021,2660
Ruovesi,2022,2641
Rusko,1970,18
Rusko,1980,58
Rusko,1990,121
Rusko,1995,139
Rusko,2000,165
Rusko,2005,158
Rusko,2010,168
Rusko,2015,168
Rusko,2020,173
Rusko,2021,172
Rusko,2022,172
Rääkkylä,1970,262
Rääkkylä,1980,482
Rääkkylä,1990,920
Rääkkylä,1995,1081
Rääkkylä,2000,1258
Rääkkylä,2005,1182
Rääkkylä,2010,1264
Rääkkylä,2015,1266
Rääkkylä,2020,1162
Rääkkylä,2021,1157
Rääkkylä,2022,1142
Saarijärvi,1970,475
Saarijärvi,1980,769
Saarijärvi,1990,1143
Saarijärvi,1995,1339
Saarijärvi,2000,1546
Saarijärvi,2005,1800
Saarijärvi,2010,1842
Saarijärvi,2015,1854
Saarijärvi,2020,1797
Saarijärvi,2021,1815
Saarijärvi,2022,1823
Salla,1970,69
Salla,1980,308
Salla,1990,859
Salla,1995,1024
Salla,2000,1166
Salla,2005,1257
Salla,2010,1316
Salla,2015,1372
Salla,2020,1435
Salla,2021,1424
Salla,2022,1424
Salo,1970,2345
Salo,1980,3594
Salo,1990,5445
Salo,1995,6386
Salo,2000,6980
Salo,2005,6963
Salo,2010,7074
Salo,2015,7191
Salo,2020,6455
Salo,2021,6442
Salo,2022,6431
Saltvik,1970,171
Saltvik,1980,357
Saltvik,1990,382
Saltvik,1995,440
Saltvik,2000,475
Saltvik,2005,491
Saltvik,2010,506
Saltvik,2015,560
Saltvik,2020,649
Saltvik,2021,655
Saltvik,2022,661
Sastamala,1970,1492
Sastamala,1980,2191
Sastamala,1990,2954
Sastamala,1995,3437
Sastamala,2000,3772
Sastamala,2005,3746
Sastamala,2010,3965
Sastamala,2015,4045
Sastamala,2020,3829
Sastamala,2021,3814
Sastamala,2022,3829
Sauvo,1970,551
Sauvo,1980,824
Sauvo,1990,1055
Sauvo,1995,1133
Sauvo,2000,1253
Sauvo,2005,1344
Sauvo,2010,1363
Sauvo,2015,1385
Sauvo,2020,1351
Sauvo,2021,1378
Sauvo,2022,1385
Savitaipale,1970,710
Savitaipale,1980,1338
Savitaipale,1990,2017
Savitaipale,1995,2237
Savitaipale,2000,2360
Savitaipale,2005,2669
Savitaipale,2010,2691
Savitaipale,2015,2749
Savitaipale,2020,2743
Savitaipale,2021,2747
Savitaipale,2022,2764
Savonlinna,1970,2126
Savonlinna,1980,3483
Savonlinna,1990,6042
Savonlinna,1995,6624
Savonlinna,2000,7027
Savonlinna,2005,7701
Savonlinna,2010,7964
Savonlinna,2015,8314
Savonlinna,2020,8765
Savonlinna,2021,8757
Savonlinna,2022,8786
Savukoski,1970,22
Savukoski,1980,75
Savukoski,1990,245
Savukoski,1995,358
Savukoski,2000,421
Savukoski,2005,492
Savukoski,2010,506
Savukoski,2015,519
Savukoski,2020,610
Savukoski,2021,614
Savukoski,2022,622
Seinäjoki,1970,172
Seinäjoki,1980,304
Seinäjoki,1990,546
Seinäjoki,1995,610
Seinäjoki,2000,691
Seinäjoki,2005,790
Seinäjoki,2010,857
Seinäjoki,2015,872
Seinäjoki,2020,857
Seinäjoki,2021,858
Seinäjoki,2022,860
Sievi,1970,32
Sievi,1980,42
Sievi,1990,173
Sievi,1995,212
Sievi,2000,223
Sievi,2005,269
Sievi,2010,268
Sievi,2015,285
Sievi,2020,296
Sievi,2021,298
Sievi,2022,299
Siikainen,1970,300
Siikainen,1980,539
Siikainen,1990,731
Siikainen,1995,832
Siikainen,2000,929
Siikainen,2005,983
Siikainen,2010,993
Siikainen,2015,1052
Siikainen,2020,989
Siikainen,2021,989
Siikainen,2022,985
Siikajoki,1970,182
Siikajoki,1980,444
Siikajoki,1990,715
Siikajoki,1995,767
Siikajoki,2000,810
Siikajoki,2005,788
Siikajoki,2010,830
Siikajoki,2015,870
Siikajoki,2020,793
Siikajoki,2021,794
Siikajoki,2022,795
Siikalatva,1970,104
Siikalatva,1980,275
Siikalatva,1990,672
Siikalatva,1995,772
Siikalatva,2000,833
Siikalatva,2005,888
Siikalatva,2010,935
Siikalatva,2015,942
Siikalatva,2020,847
Siikalatva,2021,853
Siikalatva,2022,855
Siilinjärvi,1970,540
Siilinjärvi,1980,632
Siilinjärvi,1990,911
Siilinjärvi,1995,941
Siilinjärvi,2000,931
Siilinjärvi,2005,943
Siilinjärvi,2010,983
Siilinjärvi,2015,1000
Siilinjärvi,2020,957
Siilinjärvi,2021,960
Siilinjärvi,2022,942
Simo,1970,346
Simo,1980,538
Simo,1990,824
Simo,1995,894
Simo,2000,915
Simo,2005,926
Simo,2010,938
Simo,2015,986
Simo,2020,1049
Simo,2021,1047
Simo,2022,1053
Sipoo,1970,2120
Sipoo,1980,1764
Sipoo,1990,1948
Sipoo,1995,2022
Sipoo,2000,2011
Sipoo,2005,2079
Sipoo,2010,2033
Sipoo,2015,2125
Sipoo,2020,2182
Sipoo,2021,2192
Sipoo,2022,2184
Siuntio,1970,463
Siuntio,1980,553
Siuntio,1990,813
Siuntio,1995,875
Siuntio,2000,843
Siuntio,2005,806
Siuntio,2010,795
Siuntio,2015,815
Siuntio,2020,811
Siuntio,2021,820
Siuntio,2022,817
Sodankylä,1970,120
Sodankylä,1980,336
Sodankylä,1990,946
Sodankylä,1995,1140
Sodankylä,2000,1295
Sodankylä,2005,1594
Sodankylä,2010,1719
Sodankylä,2015,1825
Sodankylä,2020,2396
Sodankylä,2021,2433
Sodankylä,2022,2497
Soini,1970,61
Soini,1980,170
Soini,1990,334
Soini,1995,357
Soini,2000,363
Soini,2005,421
Soini,2010,490
Soini,2015,533
Soini,2020,544
Soini,2021,541
Soini,2022,549
Somero,1970,510
Somero,1980,951
Somero,1990,1525
Somero,1995,1883
Somero,2000,2024
Somero,2005,2109
Somero,2010,2119
Somero,2015,2168
Somero,2020,2020
Somero,2021,2027
Somero,2022,2026
Sonkajärvi,1970,131
Sonkajärvi,1980,307
Sonkajärvi,1990,659
Sonkajärvi,1995,725
Sonkajärvi,2000,734
Sonkajärvi,2005,822
Sonkajärvi,2010,873
Sonkajärvi,2015,905
Sonkajärvi,2020,852
Sonkajärvi,2021,869
Sonkajärvi,2022,873
Sotkamo,1970,491
Sotkamo,1980,910
Sotkamo,1990,1389
Sotkamo,1995,1687
Sotkamo,2000,1735
Sotkamo,2005,1859
Sotkamo,2010,1849
Sotkamo,2015,1865
Sotkamo,2020,2013
Sotkamo,2021,2010
Sotkamo,2022,2024
Sottunga,1970,34
Sottunga,1980,67
Sottunga,1990,80
Sottunga,1995,89
Sottunga,2000,92
Sottunga,2005,94
Sottunga,2010,96
Sottunga,2015,101
Sottunga,2020,117
Sottunga,2021,117
Sottunga,2022,117
Sulkava,1970,374
Sulkava,1980,809
Sulkava,1990,1230
Sulkava,1995,1488
Sulkava,2000,1607
Sulkava,2005,1904
Sulkava,2010,1993
Sulkava,2015,2140
Sulkava,2020,2193
Sulkava,2021,2198
Sulkava,2022,2195
Sund,1970,103
Sund,1980,237
Sund,1990,310
Sund,1995,328
Sund,2000,342
Sund,2005,358
Sund,2010,351
Sund,2015,340
Sund,2020,412
Sund,2021,418
Sund,2022,428
Suomussalmi,1970,227
Suomussalmi,1980,624
Suomussalmi,1990,1283
Suomussalmi,1995,1729
Suomussalmi,2000,1888
Suomussalmi,2005,2240
Suomussalmi,2010,2253
Suomussalmi,2015,2290
Suomussalmi,2020,2163
Suomussalmi,2021,2168
Suomussalmi,2022,2172
Suonenjoki,1970,309
Suonenjoki,1980,466
Suonenjoki,1990,924
Suonenjoki,1995,966
Suonenjoki,2000,1024
Suonenjoki,2005,1056
Suonenjoki,2010,1085
Suonenjoki,2015,1112
Suonenjoki,2020,995
Suonenjoki,2021,987
Suonenjoki,2022,987
Sysmä,1970,1001
Sysmä,1980,1681
Sysmä,1990,2578
Sysmä,1995,2966
Sysmä,2000,3278
Sysmä,2005,3545
Sysmä,2010,3720
Sysmä,2015,3791
Sysmä,2020,4001
Sysmä,2021,3933
Sysmä,2022,3744
Säkylä,1970,592
Säkylä,1980,735
Säkylä,1990,918
Säkylä,1995,1004
Säkylä,2000,1050
Säkylä,2005,1080
Säkylä,2010,1099
Säkylä,2015,1141
Säkylä,2020,1112
Säkylä,2021,1105
Säkylä,2022,1104
Taipalsaari,1970,1558
Taipalsaari,1980,1901
Taipalsaari,1990,2600
Taipalsaari,1995,2943
Taipalsaari,2000,3219
Taipalsaari,2005,3407
Taipalsaari,2010,3271
Taipalsaari,2015,3411
Taipalsaari,2020,3504
Taipalsaari,2021,3473
Taipalsaari,2022,3441
Taivalkoski,1970,106
Taivalkoski,1980,399
Taivalkoski,1990,744
Taivalkoski,1995,941
Taivalkoski,2000,1031
Taivalkoski,2005,1164
Taivalkoski,2010,1185
Taivalkoski,2015,1204
Taivalkoski,2020,1240
Taivalkoski,2021,1254
Taivalkoski,2022,1258
Taivassalo,1970,628
Taivassalo,1980,933
Taivassalo,1990,1316
Taivassalo,1995,1478
Taivassalo,2000,1727
Taivassalo,2005,1864
Taivassalo,2010,1913
Taivassalo,2015,1993
Taivassalo,2020,1970
Taivassalo,2021,1973
Taivassalo,2022,1987
Tammela,1970,1077
Tammela,1980,1775
Tammela,1990,2486
Tammela,1995,2753
Tammela,2000,3125
Tammela,2005,3196
Tammela,2010,3184
Tammela,2015,3309
Tammela,2020,3305
Tammela,2021,3333
Tammela,2022,3331
Tampere,1970,2047
Tampere,1980,2079
Tampere,1990,3207
Tampere,1995,3418
Tampere,2000,3486
Tampere,2005,3507
Tampere,2010,3605
Tampere,2015,3354
Tampere,2020,3649
Tampere,2021,3705
Tampere,2022,3741
Tervo,1970,182
Tervo,1980,338
Tervo,1990,679
Tervo,1995,780
Tervo,2000,849
Tervo,2005,876
Tervo,2010,941
Tervo,2015,956
Tervo,2020,924
Tervo,2021,930
Tervo,2022,931
Tervola,1970,73
Tervola,1980,153
Tervola,1990,411
Tervola,1995,471
Tervola,2000,430
Tervola,2005,468
Tervola,2010,478
Tervola,2015,504
Tervola,2020,472
Tervola,2021,473
Tervola,2022,474
Teuva,1970,17
Teuva,1980,39
Teuva,1990,90
Teuva,1995,163
Teuva,2000,183
Teuva,2005,190
Teuva,2010,182
Teuva,2015,181
Teuva,2020,164
Teuva,2021,161
Teuva,2022,161
Tohmajärvi,1970,248
Tohmajärvi,1980,427
Tohmajärvi,1990,867
Tohmajärvi,1995,981
Tohmajärvi,2000,994
Tohmajärvi,2005,999
Tohmajärvi,2010,1027
Tohmajärvi,2015,1021
Tohmajärvi,2020,887
Tohmajärvi,2021,890
Tohmajärvi,2022,871
Toholampi,1970,12
Toholampi,1980,29
Toholampi,1990,73
Toholampi,1995,122
Toholampi,2000,140
Toholampi,2005,158
Toholampi,2010,162
Toholampi,2015,165
Toholampi,2020,137
Toholampi,2021,138
Toholampi,2022,138
Toivakka,1970,273
Toivakka,1980,429
Toivakka,1990,740
Toivakka,1995,868
Toivakka,2000,938
Toivakka,2005,1030
Toivakka,2010,1091
Toivakka,2015,1114
Toivakka,2020,866
Toivakka,2021,882
Toivakka,2022,890
Tornio,1970,513
Tornio,1980,702
Tornio,1990,943
Tornio,1995,1094
Tornio,2000,1141
Tornio,2005,1136
Tornio,2010,1230
Tornio,2015,1267
Tornio,2020,1314
Tornio,2021,1319
Tornio,2022,1313
Turku,1970,1967
Turku,1980,1853
Turku,1990,2574
Turku,1995,2628
Turku,2000,2760
Turku,2005,2546
Turku,2010,2426
Turku,2015,2488
Turku,2020,2603
Turku,2021,2601
Turku,2022,2595
Tuusniemi,1970,221
Tuusniemi,1980,574
Tuusniemi,1990,1025
Tuusniemi,1995,1214
Tuusniemi,2000,1196
Tuusniemi,2005,1369
Tuusniemi,2010,1399
Tuusniemi,2015,1425
Tuusniemi,2020,1278
Tuusniemi,2021,1279
Tuusniemi,2022,1282
Tuusula,1970,702
Tuusula,1980,542
Tuusula,1990,574
Tuusula,1995,579
Tuusula,2000,617
Tuusula,2005,548
Tuusula,2010,541
Tuusula,2015,498
Tuusula,2020,451
Tuusula,2021,455
Tuusula,2022,447
Tyrnävä,1970,37
Tyrnävä,1980,144
Tyrnävä,1990,242
Tyrnävä,1995,276
Tyrnävä,2000,274
Tyrnävä,2005,273
Tyrnävä,2010,294
Tyrnävä,2015,296
Tyrnävä,2020,270
Tyrnävä,2021,271
Tyrnävä,2022,272
Ulvila,1970,176
Ulvila,1980,240
Ulvila,1990,312
Ulvila,1995,341
Ulvila,2000,339
Ulvila,2005,364
Ulvila,2010,380
Ulvila,2015,409
Ulvila,2020,417
Ulvila,2021,427
Ulvila,2022,429
Urjala,1970,370
Urjala,1980,572
Urjala,1990,1112
Urjala,1995,1359
Urjala,2000,1442
Urjala,2005,1611
Urjala,2010,1627
Urjala,2015,1640
Urjala,2020,1529
Urjala,2021,1544
Urjala,2022,1537
Utajärvi,1970,171
Utajärvi,1980,425
Utajärvi,1990,706
Utajärvi,1995,898
Utajärvi,2000,941
Utajärvi,2005,1016
Utajärvi,2010,1062
Utajärvi,2015,1085
Utajärvi,2020,1131
Utajärvi,2021,1108
Utajärvi,2022,1121
Utsjoki,1970,66
Utsjoki,1980,137
Utsjoki,1990,375
Utsjoki,1995,476
Utsjoki,2000,530
Utsjoki,2005,540
Utsjoki,2010,612
Utsjoki,2015,684
Utsjoki,2020,967
Utsjoki,2021,1014
Utsjoki,2022,1023
Uurainen,1970,248
Uurainen,1980,401
Uurainen,1990,481
Uurainen,1995,528
Uurainen,2000,575
Uurainen,2005,599
Uurainen,2010,621
Uurainen,2015,670
Uurainen,2020,689
Uurainen,2021,693
Uurainen,2022,695
Uusikaarlepyy,1970,732
Uusikaarlepyy,1980,1312
Uusikaarlepyy,1990,758
Uusikaarlepyy,1995,892
Uusikaarlepyy,2000,1061
Uusikaarlepyy,2005,1433
Uusikaarlepyy,2010,1714
Uusikaarlepyy,2015,1789
Uusikaarlepyy,2020,2128
Uusikaarlepyy,2021,2126
Uusikaarlepyy,2022,2166
Uusikaupunki,1970,1438
Uusikaupunki,1980,2199
Uusikaupunki,1990,3104
Uusikaupunki,1995,3383
Uusikaupunki,2000,3595
Uusikaupunki,2005,3762
Uusikaupunki,2010,3871
Uusikaupunki,2015,3877
Uusikaupunki,2020,4109
Uusikaupunki,2021,4124
Uusikaupunki,2022,4157
Vaala,1970,340
Vaala,1980,734
Vaala,1990,1129
Vaala,1995,1368
Vaala,2000,1450
Vaala,2005,1610
Vaala,2010,1652
Vaala,2015,1674
Vaala,2020,1630
Vaala,2021,1636
Vaala,2022,1652
Vaasa,1970,128
Vaasa,1980,2019
Vaasa,1990,1234
Vaasa,1995,1331
Vaasa,2000,1450
Vaasa,2005,1702
Vaasa,2010,1863
Vaasa,2015,1818
Vaasa,2020,2043
Vaasa,2021,2061
Vaasa,2022,2055
Valkeakoski,1970,685
Valkeakoski,1980,821
Valkeakoski,1990,1080
Valkeakoski,1995,1148
Valkeakoski,2000,1241
Valkeakoski,2005,1206
Valkeakoski,2010,1221
Valkeakoski,2015,1290
Valkeakoski,2020,1293
Valkeakoski,2021,1301
Valkeakoski,2022,1302
Vantaa,1970,1213
Vantaa,1980,864
Vantaa,1990,1104
Vantaa,1995,1175
Vantaa,2000,929
Vantaa,2005,775
Vantaa,2010,771
Vantaa,2015,684
Vantaa,2020,656
Vantaa,2021,648
Vantaa,2022,644
Varkaus,1970,601
Varkaus,1980,767
Varkaus,1990,1169
Varkaus,1995,1288
Varkaus,2000,1280
Varkaus,2005,1283
Varkaus,2010,1313
Varkaus,2015,1364
Varkaus,2020,1269
Varkaus,2021,1276
Varkaus,2022,1283
Vehmaa,1970,211
Vehmaa,1980,364
Vehmaa,1990,566
Vehmaa,1995,637
Vehmaa,2000,751
Vehmaa,2005,792
Vehmaa,2010,800
Vehmaa,2015,847
Vehmaa,2020,835
Vehmaa,2021,839
Vehmaa,2022,842
Vesanto,1970,171
Vesanto,1980,365
Vesanto,1990,634
Vesanto,1995,708
Vesanto,2000,762
Vesanto,2005,806
Vesanto,2010,823
Vesanto,2015,806
Vesanto,2020,728
Vesanto,2021,733
Vesanto,2022,733
Vesilahti,1970,612
Vesilahti,1980,792
Vesilahti,1990,1076
Vesilahti,1995,1386
Vesilahti,2000,1623
Vesilahti,2005,1614
Vesilahti,2010,1687
Vesilahti,2015,1712
Vesilahti,2020,1708
Vesilahti,2021,1712
Vesilahti,2022,1704
Veteli,1970,61
Veteli,1980,80
Veteli,1990,139
Veteli,1995,192
Veteli,2000,219
Veteli,2005,259
Veteli,2010,265
Veteli,2015,275
Veteli,2020,381
Veteli,2021,385
Veteli,2022,387
Vieremä,1970,110
Vieremä,1980,181
Vieremä,1990,413
Vieremä,1995,456
Vieremä,2000,484
Vieremä,2005,499
Vieremä,2010,527
Vieremä,2015,549
Vieremä,2020,502
Vieremä,2021,499
Vieremä,2022,498
Vihti,1970,1562
Vihti,1980,1696
Vihti,1990,2257
Vihti,1995,2333
Vihti,2000,2493
Vihti,2005,2560
Vihti,2010,2604
Vihti,2015,2610
Vihti,2020,2425
Vihti,2021,2434
Vihti,2022,2426
Viitasaari,1970,448
Viitasaari,1980,999
Viitasaari,1990,1407
Viitasaari,1995,1854
Viitasaari,2000,2012
Viitasaari,2005,2146
Viitasaari,2010,2228
Viitasaari,2015,2259
Viitasaari,2020,2160
Viitasaari,2021,2155
Viitasaari,2022,2159
Vimpeli,1970,109
Vimpeli,1980,154
Vimpeli,1990,270
Vimpeli,1995,351
Vimpeli,2000,426
Vimpeli,2005,422
Vimpeli,2010,441
Vimpeli,2015,448
Vimpeli,2020,439
Vimpeli,2021,439
Vimpeli,2022,441
Virolahti,1970,694
Virolahti,1980,936
Virolahti,1990,1296
Virolahti,1995,1466
Virolahti,2000,1576
Virolahti,2005,1568
Virolahti,2010,1603
Virolahti,2015,1631
Virolahti,2020,1554
Virolahti,2021,1559
Virolahti,2022,1560
Virrat,1970,653
Virrat,1980,1252
Virrat,1990,1702
Virrat,1995,1982
Virrat,2000,2304
Virrat,2005,2373
Virrat,2010,2490
Virrat,2015,2651
Virrat,2020,2821
Virrat,2021,2813
Virrat,2022,2804
Vårdö,1970,104
Vårdö,1980,239
Vårdö,1990,281
Vårdö,1995,329
Vårdö,2000,385
Vårdö,2005,450
Vårdö,2010,478
Vårdö,2015,517
Vårdö,2020,562
Vårdö,2021,566
Vårdö,2022,567
Vöyri,1970,740
Vöyri,1980,1340
Vöyri,1990,1658
Vöyri,1995,1918
Vöyri,2000,2084
Vöyri,2005,2221
Vöyri,2010,2394
Vöyri,2015,2459
Vöyri,2020,2611
Vöyri,2021,2597
Vöyri,2022,2598
Ylitornio,1970,218
Ylitornio,1980,475
Ylitornio,1990,913
Ylitornio,1995,1132
Ylitornio,2000,1174
Ylitornio,2005,1233
Ylitornio,2010,1238
Ylitornio,2015,1311
Ylitornio,2020,1505
Ylitornio,2021,1539
Ylitornio,2022,1549
Ylivieska,1970,71
Ylivieska,1980,79
Ylivieska,1990,195
Ylivieska,1995,239
Ylivieska,2000,253
Ylivieska,2005,250
Ylivieska,2010,253
Ylivieska,2015,260
Ylivieska,2020,177
Ylivieska,2021,177
Ylivieska,2022,181
Ylöjärvi,1970,1962
Ylöjärvi,1980,2587
Ylöjärvi,1990,3574
Ylöjärvi,1995,3784
Ylöjärvi,2000,3987
Ylöjärvi,2005,4155
Ylöjärvi,2010,4248
Ylöjärvi,2015,4400
Ylöjärvi,2020,4378
Ylöjärvi,2021,4394
Ylöjärvi,2022,4402
Ypäjä,1970,41
Ypäjä,1980,182
Ypäjä,1990,298
Ypäjä,1995,310
Ypäjä,2000,297
Ypäjä,2005,284
Ypäjä,2010,283
Ypäjä,2015,287
Ypäjä,2020,227
Ypäjä,2021,230
Ypäjä,2022,228
Ähtäri,1970,425
Ähtäri,1980,650
Ähtäri,1990,1135
Ähtäri,1995,1235
Ähtäri,2000,1196
Ähtäri,2005,1304
Ähtäri,2010,1357
Ähtäri,2015,1336
Ähtäri,2020,1317
Ähtäri,2021,1316
Ähtäri,2022,1318
Äänekoski,1970,903
Äänekoski,1980,1374
Äänekoski,1990,1855
Äänekoski,1995,2154
Äänekoski,2000,2407
Äänekoski,2005,2461
Äänekoski,2010,2533
Äänekoski,2015,2579
Äänekoski,2020,2521
Äänekoski,2021,2526
Äänekoski,2022,2510
